data_as_of,latest_release,stargazers_count,closed_issues,open_issues,closure_rate,median_closure_seconds,average_time_between_releases_seconds,seconds_since_last_release,current_release_downloads,max_release_downloads,total_downloads,est_users_non_current_release,unique_views,release_downloads,top_referrers
2024-11-30 20:18:33.119076+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,2241483.395144,192,371,579,179,4,"{'1.0.5': 192, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 4}","{'forum.obsidian.md': 2, 'Google': 1, 'pkmer.cn': 1}"
2024-11-30 21:02:44.705317+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,2244134.84968,192,371,579,179,4,"{'1.0.5': 192, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 4}","{'forum.obsidian.md': 2, 'Google': 1, 'pkmer.cn': 1}"
2024-11-30 21:18:49.819156+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,2245099.919216,192,371,579,179,4,"{'1.0.5': 192, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 4}","{'forum.obsidian.md': 2, 'Google': 1, 'pkmer.cn': 1}"
2024-12-01 02:54:07.056565+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,2265217.298918,193,371,580,178,4,"{'1.0.5': 193, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 4}","{'forum.obsidian.md': 2, 'Google': 1, 'pkmer.cn': 1}"
2024-12-01 13:09:35.602122+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,2302145.796328,194,371,581,177,5,"{'1.0.5': 194, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 4}","{'forum.obsidian.md': 2, 'Google': 1, 'pkmer.cn': 1}"
2024-12-02 08:46:14.561282+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,2372743.599845,200,371,587,171,6,"{'1.0.5': 200, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 4}","{'github.com': 2, 'forum.obsidian.md': 2, 'Google': 1, 'pkmer.cn': 1}"
2024-12-03 08:44:56.220633+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,2459066.326569,208,371,595,163,6,"{'1.0.5': 208, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 4}","{'github.com': 3, 'forum.obsidian.md': 2, 'Google': 1, 'pkmer.cn': 1}"
2024-12-04 08:46:28.697531+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,2545558.495023,215,371,602,156,5,"{'1.0.5': 215, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 4}","{'github.com': 5, 'forum.obsidian.md': 2, 'Google': 1, 'pkmer.cn': 1}"
2024-12-05 08:45:30.619458+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,2631900.626822,222,371,609,149,5,"{'1.0.5': 222, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 4}","{'github.com': 5, 'forum.obsidian.md': 2, 'Google': 1, 'pkmer.cn': 1}"
2024-12-06 08:44:42.480844+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,2718252.225424,228,371,615,143,4,"{'1.0.5': 228, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 4}","{'github.com': 5, 'Google': 1, 'pkmer.cn': 1}"
2024-12-07 08:42:23.776757+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,2804513.169738,233,371,620,138,4,"{'1.0.5': 233, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 4}","{'github.com': 5, 'Google': 1}"
2024-12-08 08:42:29.136770+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,2890918.376062,240,371,628,131,3,"{'1.0.5': 240, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 5}","{'github.com': 6, 'Google': 1}"
2024-12-09 08:46:38.724684+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,2977568.718127,247,371,635,124,3,"{'1.0.5': 247, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 5}","{'github.com': 6, 'Google': 1}"
2024-12-10 08:46:14.275740+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,3063944.170966,252,371,640,119,4,"{'1.0.5': 252, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 5}","{'github.com': 6, 'Google': 1, 'medium.com': 1}"
2024-12-11 08:46:02.864053+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,3150331.758972,262,371,650,109,4,"{'1.0.5': 262, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 5}","{'github.com': 6, 'medium.com': 1}"
2024-12-12 08:45:31.555309+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,3236701.624681,270,371,658,101,4,"{'1.0.5': 270, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 5}","{'github.com': 6, 'obsidian.md': 1, 'medium.com': 1}"
2024-12-13 08:44:58.102397+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,3323068.058722,280,371,668,91,4,"{'1.0.5': 280, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 5}","{'github.com': 6, 'obsidian.md': 1, 'medium.com': 1}"
2024-12-14 08:41:54.163907+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,3409284.363472,283,371,671,88,4,"{'1.0.5': 283, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 5}","{'github.com': 6, 'obsidian.md': 1, 'medium.com': 1}"
2024-12-15 08:41:55.381915+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,3495685.429947,284,371,672,87,4,"{'1.0.5': 284, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 5}","{'github.com': 4, 'obsidian.md': 1, 'medium.com': 1}"
2024-12-16 08:46:12.861397+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,3582342.917697,288,371,676,83,3,"{'1.0.5': 288, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 2, '1.0.0': 5}","{'github.com': 3, 'obsidian.md': 1, 'medium.com': 1}"
2024-12-17 08:46:09.523116+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,3668738.506181,296,371,685,75,4,"{'1.0.5': 296, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 3, '1.0.0': 5}","{'github.com': 1, 'obsidian.md': 1, 'medium.com': 1}"
2024-12-18 08:44:42.815496+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,3755052.49364,300,371,689,71,4,"{'1.0.5': 300, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 3, '1.0.0': 5}","{'github.com': 2, 'obsidian.md': 1, 'medium.com': 1}"
2024-12-19 08:43:44.859318+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,3841393.718315,303,371,692,68,5,"{'1.0.5': 303, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 3, '1.0.0': 5}","{'github.com': 2, 'obsidian.md': 1, 'medium.com': 1}"
2024-12-20 08:41:53.989518+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,3927684.156426,308,371,697,63,6,"{'1.0.5': 308, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 3, '1.0.0': 5}","{'github.com': 2, 'obsidian.md': 1, 'medium.com': 1}"
2024-12-21 08:39:10.065266+00:00,1.0.5,4,6,1,0.86,3086037.5,2325740.4,4013920.104375,314,371,703,57,7,"{'1.0.5': 314, '1.0.4': 6, '1.0.3': 371, '1.0.2': 4, '1.0.1': 3, '1.0.0': 5}","{'obsidian.md': 2, 'github.com': 1, 'medium.com': 1}"
